unit_id,status,unit_action,unit_remove_candidate,gate_A,gate_B,gate_C,gate_D,gate_E,evidence_refs,gap_or_conflict,recommended_change,destination
.octon/cognition/practices/methodology/README.index.yml::schema_version,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.index.yml:4 schema_version,none,none,
.octon/cognition/practices/methodology/README.index.yml::sections,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.index.yml:6 sections,none,none,
.octon/cognition/practices/methodology/README.index.yml::source,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.index.yml:5 source,none,none,
.octon/cognition/practices/methodology/README.md::AI IDE Prompt Library,Partially Aligned,move_or_merge,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:587 AI IDE Prompt Library,README.md:587 prompt playbook content in methodology hub,move to playbook prompt surface and keep link,.octon/cognition/practices/methodology/playbooks/prompts.md
.octon/cognition/practices/methodology/README.md::Architecture & Repository Structure,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:579 Architecture & Repository Structure,none,none,
.octon/cognition/practices/methodology/README.md::Authoritative References,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:752 Authoritative References,none,none,
.octon/cognition/practices/methodology/README.md::Branching & Release Model,Partially Aligned,remediate,false,true,false,false,false,false,.octon/cognition/practices/methodology/README.md:502 Branching & Release Model,README.md:547 provider-specific command in otherwise provider-neutral policy,replace with provider-neutral placeholder and optional appendix,
.octon/cognition/practices/methodology/README.md::CI/CD Quality Gates,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:527 CI/CD Quality Gates,none,none,
.octon/cognition/practices/methodology/README.md::Extras,Partially Aligned,prune,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:692 Extras,README.md:692 catch-all extras violates compact SSOT posture,prune section; relocate retained content to canonical destinations,
.octon/cognition/practices/methodology/README.md::Flow & WIP Policy (Kanban for solo),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:486 Flow & WIP Policy (Kanban for solo),none,none,
.octon/cognition/practices/methodology/README.md::Octon in Practice,Partially Aligned,remediate,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:333 Octon in Practice,README.md:333 combines many already-canonical policy surfaces,keep brief synopsis and authoritative links only,
.octon/cognition/practices/methodology/README.md::Octon's Components,Partially Aligned,move_or_merge,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:200 Octon's Components,README.md:200 large component catalog duplicates downstream surfaces,reduce to concise map and link to canonical tooling/ops docs,.octon/cognition/practices/methodology/tooling-and-metrics.md
.octon/cognition/practices/methodology/README.md::Octon’s Unifying Objective,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:41 Octon’s Unifying Objective,none,none,
.octon/cognition/practices/methodology/README.md::How Octon’s Components Reinforce Each Other,Partially Aligned,prune,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:276 How Octon’s Components Reinforce Each Other,README.md:276 conceptual repetition,compress to short summary paragraph,
.octon/cognition/practices/methodology/README.md::Kit Architecture and Stage Mapping,Partially Aligned,move_or_merge,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:91 Kit Architecture and Stage Mapping,README.md:91 runtime mapping detail overlaps capability docs,summarize and link to canonical runtime docs,.octon/capabilities/runtime/services/_meta/docs/platform-overview.md
.octon/cognition/practices/methodology/README.md::Machine Discovery,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:20 Machine Discovery,none,none,
.octon/cognition/practices/methodology/README.md::Method Lifecycle Overview,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:417 Method Lifecycle Overview,none,none,
.octon/cognition/practices/methodology/README.md::Methodology Map,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:182 Methodology Map,none,none,
.octon/cognition/practices/methodology/README.md::Metrics & Improvement,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:628 Metrics & Improvement,none,none,
.octon/cognition/practices/methodology/README.md::Operating Cadence (Solo + AI),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:450 Operating Cadence (Solo + AI),none,none,
.octon/cognition/practices/methodology/README.md::Operational Defaults,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:644 Operational Defaults,none,none,
.octon/cognition/practices/methodology/README.md::Performance & Scalability,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:571 Performance & Scalability,none,none,
