synthesize-research	synthesize my research
synthesize-research	consolidate findings
synthesize-research	summarize research notes
refine-prompt	refine my prompt
refine-prompt	improve this prompt
refine-prompt	expand this prompt
refine-prompt	spell check my prompt
refine-prompt	clarify my prompt
refine-prompt	analyze and improve my prompt
refactor	refactor this
refactor	rename across codebase
refactor	move and update references
refactor	systematic rename
refactor	refactor the pattern
create-skill	create a new skill
create-skill	scaffold a skill
create-skill	generate skill boilerplate
create-skill	add a new skill
audit-migration	audit the migration
audit-migration	verify migration completeness
audit-migration	check for stale references
audit-subsystem-health	audit subsystem health
audit-subsystem-health	check subsystem coherence
audit-subsystem-health	verify config consistency
audit-subsystem-health	subsystem health check
audit-ui	audit the ui
audit-ui	check ui guidelines
audit-ui	review accessibility
python-api	python api foundation
python-api	set up python api stack
python-api	python api workflow
swift-macos-app	swift macos foundation
swift-macos-app	set up swift macos app
swift-macos-app	swift app workflow
python-scaffold-package	scaffold python package
python-scaffold-package	create python api project structure
python-scaffold-package	python pyproject setup
python-contract-first-api	generate python api contracts
python-contract-first-api	contract first api setup
python-contract-first-api	openapi pydantic models
python-test-harness	set up python test harness
python-test-harness	generate pytest fixtures
python-test-harness	python test scaffolding
python-dev-toolchain	set up python dev toolchain
python-dev-toolchain	configure python linting
python-dev-toolchain	python pre-commit setup
python-infra-manifest	generate python infrastructure
python-infra-manifest	docker compose for python api
python-infra-manifest	alembic migration setup
python-contributor-guide	generate python contributor docs
python-contributor-guide	python contributing guide
python-contributor-guide	python ci workflow setup
swift-scaffold-package	scaffold swift package
swift-scaffold-package	create swift macos project
swift-scaffold-package	swift package setup
swift-data-layer	swift data layer setup
swift-data-layer	grdb database actor
swift-data-layer	swift sqlite persistence
swift-cli-interface	swift cli setup
swift-cli-interface	argument parser commands
swift-cli-interface	swift command line interface
swift-daemon-service	swift daemon service
swift-daemon-service	launchagent daemon setup
swift-daemon-service	swift background service
swift-test-harness	swift test harness setup
swift-test-harness	xctest scaffolding
swift-test-harness	swift test fixtures
swift-contributor-guide	swift contributor docs
swift-contributor-guide	swift contributing guide
swift-contributor-guide	swift ci workflow setup
react	react foundation
react	nextjs foundation
react	react workflow guidance
react-native	react native foundation
react-native	expo foundation
react-native	react native workflow guidance
postgres	postgres foundation
postgres	postgres workflow guidance
postgres	database foundation skill
react-composition-patterns	apply react composition patterns
react-composition-patterns	check composition patterns
react-composition-patterns	react compound components
react-composition-patterns	component composition review
react-best-practices	apply react best practices
react-best-practices	react performance review
react-best-practices	check react patterns
react-best-practices	next.js best practices
react-native-best-practices	apply react native best practices
react-native-best-practices	react native performance review
react-native-best-practices	check react native patterns
react-native-best-practices	expo best practices
vercel-deploy	deploy to vercel
vercel-deploy	vercel deployment
vercel-deploy	push to vercel
vercel-deploy	ship to production
deploy-status	check deployment status
deploy-status	verify vercel deployment
vercel	vercel platform guidance
vercel	vercel foundation
vercel	deploy workflow for vercel
resolve-pr-comments	resolve pr comments
resolve-pr-comments	address review comments
resolve-pr-comments	fix review feedback
resolve-pr-comments	resolve review
triage-ci-failure	fix ci
triage-ci-failure	triage ci failure
triage-ci-failure	debug build failure
postgres-best-practices	apply postgres best practices
postgres-best-practices	postgres performance review
postgres-best-practices	check database patterns
postgres-best-practices	sql best practices
postgres-best-practices	review database code
spec-to-implementation	turn this spec into tasks
spec-to-implementation	create implementation plan
spec-to-implementation	decompose this feature
spec-to-implementation	break down this spec
spec-to-implementation	plan the implementation
build-mcp-server	build an mcp server
build-mcp-server	create mcp tools
build-mcp-server	scaffold mcp server
build-mcp-server	make an mcp integration
