file,status,artifact_action,salvageability,gate_A,gate_B,gate_C,gate_D,gate_E,evidence_refs,key_gaps,recommended_changes
.harmony/cognition/practices/methodology/README.index.yml,Aligned,keep,high,false,false,false,false,false,README.index.yml:4 schema_version; README.index.yml:6 sections,none,none
.harmony/cognition/practices/methodology/README.md,Partially Aligned,move_or_merge,high,false,true,false,false,false,README.md:200 components catalog duplicates downstream detail; README.md:587 prompt library; README.md:712 quick-start playbook content,overview hub carries operational catalogs and playbook material,"keep hub orientation, relocate heavy operational sections to dedicated playbooks/examples and summarize-and-link from hub"
.harmony/cognition/practices/methodology/architecture-and-repo-structure.md,Aligned,keep,high,false,false,false,false,false,architecture-and-repo-structure.md:20 canonical sources; :32 structural baseline,none,none
.harmony/cognition/practices/methodology/audits/README.md,Aligned,keep,high,false,false,false,false,false,audits/README.md:44 required artifacts; :83 runtime records,none,none
.harmony/cognition/practices/methodology/audits/ci-gates.md,Partially Aligned,remediate,high,true,true,false,false,false,audits/ci-gates.md:24 gate-1 scope broad; :25 unsupported marker naming ambiguous; findings-contract.md:75 explicit unsupported markers,gate scope may include legacy bundles; unsupported marker naming can drift,scope checks to changed/current bundle and require explicit seed_unsupported/fingerprint_unsupported markers
.harmony/cognition/practices/methodology/audits/doctrine.md,Aligned,keep,high,false,false,false,false,false,audits/doctrine.md:28 non-negotiables; :52 convergence rule,none,none
.harmony/cognition/practices/methodology/audits/exceptions.md,Partially Aligned,remediate,high,true,false,false,false,false,audits/exceptions.md:20 explicit approval required; :32-38 no mandatory approval provenance fields,exception approval evidence model incomplete,add required approver/timestamp/rationale/scope/expiry/reference fields and storage path
.harmony/cognition/practices/methodology/audits/findings-contract.md,Aligned,keep,high,false,false,false,false,false,audits/findings-contract.md:32 required fields; :67 run receipt contract,none,none
.harmony/cognition/practices/methodology/audits/index.yml,Aligned,keep,high,false,false,false,false,false,audits/index.yml:4 schema_version; :5 files,none,none
.harmony/cognition/practices/methodology/audits/invariants.md,Aligned,keep,high,false,false,false,false,false,audits/invariants.md:20 invariants; :30 allowed patterns,none,none
